site_order,needs_selenium,site_url
354,False,https://corcovado.co.nz
355,False,https://lujo.co.nz
356,False,https://lujoliving.com
357,False,https://shopden-la.com
361,False,https://sofasandmore.co.nz
363,False,https://bandhinidesign.com
364,False,https://case22.com.au
365,False,https://kwikshopnship.com.au
366,False,https://modernhomefurniture.com.au
367,False,https://nestz.com.au
368,False,https://kubekfurniture.com
372,False,https://augustusbrandt.co.uk
374,False,https://zipchair.com
376,False,https://maximahouse.com
378,False,https://woodaction.com
379,False,https://homesteadfurniturebc.com
380,False,https://popstrukt.com
381,False,https://dkmodernfurniture.com
382,True,https://woodtribe.co.nz
387,False,https://studioydesign.ca
388,False,https://pure-patio.com
389,False,https://jubileefurniturelv.com
390,False,https://madebyhame.com
392,False,https://interiorsinvogue.com
400,False,https://shop-ames-interiors.com
401,False,https://royalgarden.com
402,False,https://ezzo.co.uk
404,False,https://sakhome.co.uk
405,False,https://astellahrela.com
406,False,https://huxlo.co.uk
407,False,https://centralcoastfurniture.com
408,False,https://mandai-design.com
409,False,https://furnituresales.com.au
410,False,https://jarrahmarri.com.au
411,False,https://henryandoliverco.com
413,False,https://avehome.com
414,False,https://elephanthead.co.uk
415,False,https://mantrafurnishings.com
416,False,https://coolstuffandaccessories.com
418,False,https://ifortifi.ca
419,False,https://denvermodern.com
421,False,https://interiorliving.ca
423,False,https://french-classic-furniture.com
424,False,https://habitekshop.com
427,False,https://greensladesfurniture.co.nz
428,False,https://loomlan.com
429,False,https://plankandpipe.co.uk
431,False,https://polyteakoutdoor.com
433,False,https://modholic.com
434,False,https://walkeredisonshop.com
439,False,https://novomodern.com
440,False,https://yoyo.co.nz
441,False,https://newstartfurniture.com.au
444,False,https://thedesignedit.com.au
445,False,https://therusticfurniturestore.com
446,False,https://dormahome.com
448,False,https://panana.co.uk
449,False,https://mahliainteriors.com.au
452,False,https://choufani.com
453,False,https://copperbarnhome.com
454,False,https://wazofurniture.com
455,False,https://ofo.com.au
456,False,https://unitedoutdoorfurniture.com.au
460,False,https://simpli-home.com
462,False,https://mykahome.com.au
463,False,https://mrnanyang.com
464,False,https://naturalgeo.com
466,False,https://hamptonsstyle.com.au
467,False,https://henkalab.com
473,False,https://bydesigntexas.com
474,True,https://furnitureshop.net
477,False,https://grandads-shed.com
479,False,https://lavida-furniture.com
480,False,https://mydesignrepublic.com
484,False,https://modernityvintage.com
486,False,https://smallspaceplus.com
487,False,https://limitedabode.co.uk
489,False,https://welcometohome.com.au
490,False,https://totemroad.com
492,False,https://whataroom.com
495,False,https://penelopesgarden.us
500,False,https://grainwoodfurniture.com
501,False,https://davishomefurniture.com
504,False,https://homebarsusa.com
505,False,https://wellhunghammocks.com
506,False,https://nofred.com
507,False,https://brisbanefurniture.com.au
508,False,https://midcenturymasters.com
510,False,https://ledecostyle.com
511,False,https://classic2modern.com
512,False,https://mrandmrswhite.net
515,False,https://theteakplace.com.au
517,False,https://mymoderndecor.com
518,False,https://circa60.com
520,False,https://elanfurniturecorp.com
521,False,https://thecountryfurniture.com
522,False,https://lamporia.com
523,False,https://reecefurniture.com
526,False,https://thecurious.mx
527,False,https://prestige-affairs.com
529,False,https://vanspecial.com
531,False,https://wbjamieson.com
534,False,https://canvasinteriors.com
536,False,https://parliamentinteriors.com
537,False,https://sunshinefurniture.com.au
538,True,https://bbfurniturestore.co.uk
540,False,https://elinahome.com
541,False,https://finditstyleithome.com.au
542,False,https://medleyhome.com
544,False,https://humblecrew.com
546,False,https://uniqwafurniture.com.au
547,False,https://woodshopfogoisland.ca
548,False,https://profilesny.com
550,False,https://thefurniturefactory.org.uk
551,False,http://mollanbros.co.uk
552,False,https://atouchoffurniture.co.uk
553,False,https://tiger-oak.com
556,False,https://jordansinteriors.ca
559,False,https://bestfurniture.co.nz
